T,X,Y,Z
1629821463449515161,-15288,-144,3042
1629821463483588865,-15396,-462,2616
1629821463517148229,-15454,-1028,2134
1629821463550383230,-15542,-1562,2272
1629821463583550808,-15252,-1582,3276
1629821463616723637,-15150,-1082,3122
1629821463650021769,-15324,-566,2692
1629821463683344361,-15460,-468,2478
1629821463716640243,-15556,-1208,2292
1629821463750043843,-15450,-1736,2128
1629821463783423065,-14706,-1904,2994
1629821463816848501,-14716,-2446,3150
1629821463850107087,-14950,-1652,2554
1629821463883525647,-14878,-532,944
1629821463916690600,-15248,-488,792
1629821463951823693,-15102,-1152,782
1629821463986529706,-15436,-1390,2230
1629821464020314214,-15410,-1286,3994
1629821464054351241,-14544,-980,3066
1629821464088525447,-15346,-1698,3202
1629821464121739190,-14596,-1192,2022
1629821464154500724,-16202,-1280,786
1629821464189166893,-15030,-1988,750
1629821464222039979,-14476,-2918,1572
1629821464255309227,-16204,-3486,3486
1629821464288288447,-15558,-3232,5054
1629821464321556112,-16396,-292,4692
1629821464355730068,-18564,8684,-11990
1629821464388777962,-20320,6400,328
1629821464422298525,-19132,2330,-2862
1629821464455354836,-16844,840,-1886
1629821464488660046,-15724,696,-1626
1629821464521367950,-15440,276,-1278
1629821464554329336,-15554,76,-672
1629821464587856316,-16906,734,-1698
1629821464624549380,-16818,1538,-1962
1629821464659197047,-16068,1560,-2214
1629821464692709193,-15982,898,-2272
1629821464726892358,-16670,924,-2704
1629821464761214454,-14854,1436,-1580
